local_name	target_name	local_status	remote_name	remote_status	collision	origin_url
ai-affirmation	ai-affirmation	ok	ai-affirmation	ok	ok	https://github.com/sunyoung-lee/ai-affirmation.git
ai-boardroom	ai-boardroom	ok	ai-boardroom	ok	ok	https://github.com/sunyoung-lee/ai-boardroom.git
ai-boyfriend	ai-boyfriend	ok	ai-boyfriend	ok	ok	https://github.com/sunyoung-lee/ai-boyfriend.git
ai-meme-maker	ai-meme-maker	ok	ai-meme-maker	ok	ok	https://github.com/sunyoung-lee/ai-meme-maker.git
ai-portfolio	ai-portfolio	ok	ai-portfolio	ok	ok	https://github.com/sunyoung-lee/ai-portfolio.git
ai-running-coach	ai-running-coach	ok	ai-running-coach	ok	ok	https://github.com/sunyoung-lee/ai-running-coach.git
app-logic-ai	app-logic-ai	ok	app-logic-ai	ok	ok	https://github.com/sunyoung-lee/app-logic-ai.git
auto-newsletter-template	auto-newsletter-template	ok	auto-newsletter-template	ok	ok	https://github.com/sunyoung-lee/auto-newsletter-template.git
auto-pmo	auto-pmo	ok	auto-pmo	ok	ok	https://github.com/sunyoung-lee/auto-pmo.git
auto-pmo-pro	auto-pmo-pro	ok	auto-pmo-pro	ok	ok	https://github.com/sunyoung-lee/auto-pmo-pro.git
axis	axis	ok	axis	ok	ok	https://github.com/sunyoung-lee/axis.git
daily-ai-action-bot	daily-ai-action-bot	ok	daily-ai-action-bot	ok	ok	https://github.com/sunyoung-lee/daily-ai-action-bot.git
edu-orchestrator	edu-orchestrator	ok	edu-orchestrator	ok	ok	https://github.com/sunyoung-lee/edu-orchestrator.git
fiscal-sniper-ai	fiscal-sniper-ai	ok	fiscal-sniper-ai	ok	ok	https://github.com/sunyoung-lee/fiscal-sniper-ai.git
global-configs	global-configs	ok	global-configs	ok	ok	https://github.com/sunyoung-lee/global-configs.git
global-sky-watcher	global-sky-watcher	ok	global-sky-watcher	ok	ok	https://github.com/sunyoung-lee/global-sky-watcher.git
gwan-sang-ai	gwan-sang-ai	ok	gwan-sang-ai	ok	ok	https://github.com/sunyoung-lee/gwan-sang-ai.git
health-insight-sniper	health-insight-sniper	ok	health-insight-sniper	ok	ok	https://github.com/sunyoung-lee/health-insight-sniper.git
idea-killer	idea-killer	ok	idea-killer	ok	ok	https://github.com/sunyoung-lee/idea-killer.git
jeju-deluang-shichon-web	jeju-deluang-shichon-web	ok	jeju-deluang-shichon-web	ok	ok	https://github.com/sunyoung-lee/jeju-deluang-shichon-web.git
jeju-harbang-tarot	jeju-harbang-tarot	ok	jeju-harbang-tarot	ok	ok	https://github.com/sunyoung-lee/jeju-harbang-tarot.git
legal-sniper-ai	legal-sniper-ai	ok	legal-sniper-ai	ok	ok	https://github.com/sunyoung-lee/legal-sniper-ai.git
love-test	love-test	ok	love-test	ok	ok	https://github.com/sunyoung-lee/love-test.git
nomad-jeju	nomad-jeju	ok	nomad-jeju	ok	ok	https://github.com/sunyoung-lee/nomad-jeju.git
passion-coordinates	passion-coordinates	ok	passion-coordinates	ok	ok	https://github.com/sunyoung-lee/passion-coordinates.git
propose-ai	propose-ai	ok	propose-ai	ok	ok	https://github.com/sunyoung-lee/propose-ai.git
reply-right	reply-right	ok	reply-right	ok	ok	https://github.com/sunyoung-lee/reply-right.git
run-test	run-test	ok	run-test	ok	ok	https://github.com/sunyoung-lee/run-test.git
vibecoding-pmo	vibecoding-pmo	ok	vibecoding-pmo	ok	ok	https://github.com/sunyoung-lee/vibecoding-pmo.git
vibelog-ai	vibelog-ai	ok	vibelog-ai	ok	ok	https://github.com/sunyoung-lee/vibelog-ai.git
web-ui-spec-architect	web-ui-spec-architect	ok	web-ui-spec-architect	ok	ok	https://github.com/sunyoung-lee/web-ui-spec-architect.git
